x_id	y_id	prob	x_name	y_name
490	1	0.7953	tessa arlen	allen eskens
629	3	0.9998	catherine lowell	catherine gayle
686	3	0.915	catherine armstrong	catherine gayle
909	3	0.9986	catherine todd	catherine gayle
90	4	0.9215	daniels	daniel j. siegel
170	4	0.9515	mark siegel	daniel j. siegel
197	4	0.9515	mark siegel	daniel j. siegel
352	5	0.9625	debbie palen	debbie macomber
776	7	0.9292	lori perkins	dolen perkins-valdez
704	11	1.0	george r.	george r.r. martin
448	11	0.9999	martin	george r.r. martin
742	11	0.9775	lex martin	george r.r. martin
799	11	0.8312	kat martin	george r.r. martin
950	11	0.9999	martin	george r.r. martin
704	11	1.0	george r.	george r.r. martin
3	12	0.9516	michael crichton	michael fertik
171	12	0.9893	michael eric dyson	michael fertik
209	12	0.9748	michael breus	michael fertik
286	12	0.9058	michaela	michael fertik
608	12	0.8316	michael benson	michael fertik
755	12	0.9986	michael fletcher	michael fertik
764	12	0.9516	michael clarkson	michael fertik
816	12	0.7711	michael crummey	michael fertik
755	12	0.9986	michael fletcher	michael fertik
322	14	0.8634	peter lodenius	peter h. diamandis
51	15	0.9993	rachel caine	rachel joyce
85	15	1.0	rachel	rachel joyce
138	15	0.8668	rachel beller	rachel joyce
152	15	0.9993	rachel caine	rachel joyce
206	15	0.9993	rachel caine	rachel joyce
269	15	0.9993	rachel caine	rachel joyce
646	25	0.9973	marni jackson	a. l. jackson
935	25	0.9999	k.m. jackson	a. l. jackson
612	27	0.7863	walter dean myers	a. meredith walters
613	27	0.7863	walter dean myers	a. meredith walters
612	27	0.7863	walter dean myers	a. meredith walters
613	27	0.7863	walter dean myers	a. meredith walters
737	27	0.9841	meredith maran	a. meredith walters
580	34	0.9046	david jacob	a.j. jacobs
646	37	0.9984	marni jackson	a.l. jackson
935	37	0.9999	k.m. jackson	a.l. jackson
712	39	0.9808	kelly madden	a.m. madden
30	41	0.9999	hannah harrison	a.s.a. harrison
518	41	1.0	harrison	a.s.a. harrison
827	41	0.9985	rory harrison	a.s.a. harrison
108	44	0.9999	jason aaron	aaron allston
964	44	0.9108	award rohan wilson	aaron allston
555	46	0.8169	bacon freak	aaron franklin
63	47	0.9991	james	aaron james draplin
108	50	0.9971	jason aaron	aaron patterson
63	54	1.0	james	abel james
469	54	0.9988	brooke james	abel james
521	54	0.9965	james beard	abel james
671	54	0.933	james dashner	abel james
682	54	0.9965	james beard	abel james
708	54	0.9949	james hannibal	abel james
552	55	0.9614	brad abraham	abraham verghese
966	56	0.937	herman atkins	ace atkins
555	58	0.8169	bacon freak	acton figueroa
761	59	1.0	adam ruben	adam braun
158	63	0.9456	adele faber	adam fawer
158	63	0.9456	adele faber	adam fawer
354	64	0.8169	adam gustavson	adam gopnik
354	64	0.8169	adam gustavson	adam gopnik
761	65	0.987	adam ruben	adam grant
